rank,catalog_key,steward_recommendation,symbol,direction,strategy_key,active_enabled,active_mode,expectancy,confidence,signal_count,execution_robustness,mc_total_r_p05,reason,steward_notes
1,market-impulse-all-basket-discovery__amd_short,live,AMD,short,market_impulse,True,live,0.5564,0.5455,110,0.99825,19.699468,strong candidate for active_strategy live review,"{""rank"":1,""reason"":""strong candidate for active_strategy live review"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
2,market-impulse-all-basket-discovery__iwm_long,shadow,IWM,long,market_impulse,True,live,0.5731,0.551,49,0.97825,4.118094,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":2,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
3,jerk-pivot-current-basket-discovery__amd_short,shadow,AMD,short,jerk_pivot_momentum,True,live,0.3771,0.4857,35,0.82025,-6.705048,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":3,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
4,market_impulse_spy_short_19383a3c9faf,shadow,SPY,short,market_impulse,True,live,0.3566,,71,0.7785,,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":4,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
5,market-impulse-all-basket-discovery__qqq_short,shadow,QQQ,short,market_impulse,True,live,0.3351,0.4717,53,0.82875,-7.223398,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":5,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
6,elastic_band_reversion_nvda_long_f3cb252b76da,shadow,NVDA,long,elastic_band_reversion,True,live,0.1521,,42,0.60275,,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":6,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
7,jerk-pivot-current-basket-discovery__tsla_short,shadow,TSLA,short,jerk_pivot_momentum,False,,0.7867,0.6222,45,0.9985,12.819173,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":7,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
8,opening-drive-current-basket-discovery__amd_short,shadow,AMD,short,opening_drive_classifier,False,,0.6157,0.5652,23,0.92975,-1.146658,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":8,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
9,expand30-w1-b2-p3-avgo-opening-drive__avgo_long,shadow,AVGO,long,opening_drive_classifier,False,,0.57,0.55,20,0.88825,-2.966686,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":9,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
10,market-impulse-all-basket-discovery,shadow,AMD,short,market_impulse,False,,0.5537,0.5446,202,0.999,31.702723,duplicate live lane; shadow behind stronger sibling,"{""rank"":10,""reason"":""duplicate live lane; shadow behind stronger sibling"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
11,opening-drive-current-basket-discovery__iwm_short,shadow,IWM,short,opening_drive_classifier,False,,0.4852,0.5217,23,0.86675,-3.698123,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":11,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
12,market-impulse-all-basket-discovery__spy_short,shadow,SPY,short,market_impulse,False,,0.42,0.5,68,0.94475,-0.520751,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":12,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
13,market-impulse-all-basket-discovery__qqq_long,shadow,QQQ,long,market_impulse,False,,0.3442,0.4747,198,0.9705,5.321245,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":13,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
14,market-impulse-all-basket-discovery__pltr_short,shadow,PLTR,short,market_impulse,False,,0.3109,0.4636,110,0.88225,-7.391937,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":14,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
15,market-impulse-all-basket-discovery__tsla_short,shadow,TSLA,short,market_impulse,False,,0.3064,0.4621,132,0.8985,-6.610237,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":15,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
16,market-impulse-all-basket-discovery__aapl_short,shadow,AAPL,short,market_impulse,False,,0.2762,0.4521,73,0.78175,-11.012024,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":16,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
17,market-impulse-all-basket-discovery__meta_short,shadow,META,short,market_impulse,False,,0.2607,0.4469,226,0.884,-9.289749,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":17,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
18,elastic-band-nvda-long-catalog-replay,shadow,NVDA,long,elastic_band_reversion,False,,0.1521,0.5476,42,0.45275,-13.03198,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":18,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
19,elastic-band-tsla-short-catalog-replay,shadow,TSLA,short,elastic_band_reversion,False,,0.045,0.375,24,0.261,-15.423364,validated catalog row; collect Bhiksha shadow evidence,"{""rank"":19,""reason"":""validated catalog row; collect Bhiksha shadow evidence"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
20,market_impulse_tsla_short_c3faeeac93aa,pause,TSLA,short,market_impulse,True,live,0.1751,,98,0.37725,,active row is weak or no longer ready,"{""rank"":20,""reason"":""active row is weak or no longer ready"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
21,elastic_band_reversion_tsla_short_74e3f56b682a,pause,TSLA,short,elastic_band_reversion,True,live,0.045,,24,0.37825,,active row is weak or no longer ready,"{""rank"":21,""reason"":""active row is weak or no longer ready"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
22,expand30-w1-b2-p2-amzn-opening-drive__amzn_short,hold,AMZN,short,opening_drive_classifier,False,,0.3674,0.5789,19,0.79175,-4.740358,thin sample: signal_count=19,"{""rank"":22,""reason"":""thin sample: signal_count=19"",""report"":""research/reports/catalog_steward/catalog-steward-20260424T131056Z0000.md"",""reviewed_at"":""2026-04-24T13:10:56+00:00""}"
